Id,SalePrice_pred
1461,115251.22442403334
1462,152575.34293347917
1463,176779.89111306253
1464,184450.09192415458
1465,187284.98361326507
1466,178568.44985101695
1467,184386.02171682005
1468,165624.2104822043
1469,218453.7637107207
1470,112702.3345674368
1471,189877.1938522899
1472,101836.39427412592
1473,90977.89319160572
1474,148056.80088103117
1475,109076.18256022604
1476,362672.10794700065
1477,231359.24385933325
1478,313979.17313467513
1479,298097.60239549435
1480,465530.38826878223
1481,300194.06072968605
1482,203917.78814329265
1483,180548.0348963527
1484,160268.8405269868
1485,194839.01961257338
1486,207052.58590101998
1487,308774.61057943734
1488,233366.2841764763
1489,183806.12784633995
1490,252120.71616851774
1491,202239.2247694468
1492,98000.06674373333
1493,215971.828470987
1494,281739.54997314955
1495,266156.3304278625
1496,243094.4047748637
1497,185381.93004743897
1498,155663.22301916807
1499,160285.43827854196
1500,154652.27745642632
1501,206709.75770837395
1502,147048.01117104373
1503,268599.3140082625
1504,236454.93485936848
1505,216107.88373648064
1506,192104.57968240543
1507,256124.1824248577
1508,200893.37169549565
1509,164575.34375469462
1510,139210.84986764524
1511,150572.31296633434
1512,183317.18985718908
1513,172285.3300828791
1514,145068.59837233427
1515,225736.96874139365
1516,175870.9853448925
1517,180318.0690435517
1518,125408.37499470288
1519,225847.24386667996
1520,119884.31871721009
1521,119256.28522187495
1522,203042.62852759665
1523,106393.48299080672
1524,124227.31658861777
1525,110458.6489420746
1526,100348.29032383466
1527,100230.50305243052
1528,147527.60905624984
1529,131733.03079450937
1530,206856.95288231364
1531,146181.58821256406
1532,112185.712992398
1533,152697.61873114438
1534,131053.44648930931
1535,153531.30209085098
1536,104675.09297804511
1537,38862.45124480889
1538,173681.113669355
1539,227951.30655340038
1540,119087.18711324883
1541,131740.1885980625
1542,141136.4273209338
1543,188599.82901405482
1544,84826.07511304614
1545,121999.71722362225
1546,125979.11629046744
1547,129870.1189845592
1548,139771.3122855614
1549,111379.0867577669
1550,126391.27556427149
1551,117496.78774637502
1552,138381.50679793587
1553,164946.23847279666
1554,117868.65355636936
1555,161639.69283516763
1556,72410.16799864735
1557,106924.80616223784
1558,91086.90064122865
1559,94319.06901650595
1560,136252.19008873487
1561,124581.48927037431
1562,115523.61132522949
1563,115937.80435787965
1564,158222.8389841682
1565,134889.99639647588
1566,253025.45827041595
1567,71686.08911891984
1568,220210.78581884195
1569,116200.00737977214
1570,142112.83172241817
1571,116488.72829245968
1572,146794.78711319473
1573,259126.24599208235
1574,128563.36954671383
1575,250369.04418559707
1576,229220.90577746904
1577,187250.8494198444
1578,150031.9006679753
1579,145373.3336984945
1580,194731.93341612403
1581,151075.40961411706
1582,126122.38609578865
1583,279237.6813437127
1584,228381.29249915353
1585,144542.34314636557
1586,46638.70278845675
1587,111830.98776853184
1588,167402.98437227152
1589,114121.74979765945
1590,138848.14405079928
1591,85698.43113121169
1592,125992.27521470748
1593,130767.90930345902
1594,141497.84152411143
1595,126308.41902572686
1596,210762.56641037462
1597,169452.89738299456
1598,199785.57411887267
1599,196901.81232781705
1600,167916.30366627953
1601,40528.19699038418
1602,118614.39943137328
1603,85361.42957948042
1604,286101.4636007908
1605,248381.83707254904
1606,162317.92521064036
1607,171310.67888033995
1608,209979.74028766077
1609,185804.81072541338
1610,159070.08123225486
1611,147112.06777704993
1612,201118.47601848055
1613,163738.9477835041
1614,134600.74648491712
1615,82127.37832359466
1616,61630.10182839364
1617,78153.64465008379
1618,110900.92984447753
1619,146245.1233871549
1620,179384.23884478572
