id,Machine failure pred,Probalitity Failure
136429,0,0.0021015403785181585
136430,0,0.0010394378087282754
136431,0,0.0025633072894891825
136432,0,0.0027725482043524674
136433,0,0.0034261642804308337
136434,0,0.002564371512547479
136435,0,0.00370467335365605
136436,0,0.00504150100215291
136437,0,0.0013006197409155616
136438,0,0.0012238070637332113
136439,0,0.0023854825144145574
136440,0,0.0020756214373707925
136441,0,0.0011734730516158721
136442,0,0.0018092667224780912
136443,0,0.0027332131765519033
136444,0,0.005456925270672188
136445,0,0.0010076336269830687
136446,1,0.9925737482923378
136447,0,0.002396893061222339
136448,0,0.0019374329025092642
136449,0,0.005476986747767621
136450,0,0.003995924820797259
136451,0,0.02114940302672755
136452,0,0.022558170135051597
136453,0,0.0038078716637250307
136454,0,0.0014134910544657206
136455,0,0.0018253494580095662
136456,0,0.007248347787400216
136457,0,0.005935733214600595
136458,0,0.0047764775692857074
136459,0,0.0031994336087141557
136460,0,0.0027388703321784592
136461,0,0.0011467446384238636
136462,0,0.017793498355964936
136463,0,0.0020760461454376934
136464,0,0.0033899065444115226
136465,0,0.0014937229717448262
136466,0,0.0018708936429361602
136467,0,0.001266687051710567
136468,0,0.0025258736975106106
136469,0,0.0013308655789827032
136470,0,0.0027615152671991213
136471,0,0.008501869557251268
136472,0,0.006893810591114016
136473,0,0.0024086093730232793
136474,0,0.002448360872550677
136475,0,0.0028012231801858843
136476,0,0.006625733839418194
136477,0,0.0023643480271575605
136478,0,0.0019995223138292825
136479,0,0.0012321281491203167
136480,0,0.006662772677510775
136481,0,0.002204816196772703
136482,0,0.033066662254655765
136483,0,0.002783560758330209
136484,0,0.0010077119844885205
136485,0,0.0012780734121293365
136486,0,0.002459451596358413
136487,0,0.001454463265654657
136488,0,0.004029055396027964
136489,0,0.0010976873999571561
136490,0,0.024039133526697558
136491,0,0.0034637750834291357
136492,0,0.0030279425729959073
136493,0,0.0032781588619398144
136494,0,0.0010504190517760213
136495,0,0.002821517915404507
136496,0,0.004773356343833774
136497,0,0.002520532851275516
136498,0,0.010197086605329928
136499,0,0.0013118454919955878
136500,0,0.0006181536711845325
136501,0,0.00160777769203358
136502,0,0.00647168807688455
136503,0,0.0025675798523632103
136504,0,0.001251679429052706
136505,0,0.001079846238208379
136506,0,0.0027842998899850393
136507,0,0.0006738787298260811
136508,0,0.0009850518773936473
136509,0,0.003501108224735751
136510,0,0.0015368490647985921
136511,0,0.010087656475884449
136512,0,0.0007933187819971088
136513,0,0.0066000269030249015
136514,0,0.0020555928482535236
136515,0,0.0021012310879321154
136516,0,0.0035816533882043265
136517,0,0.001591712136406271
136518,0,0.0016358458865451198
136519,0,0.0025159105118455188
136520,0,0.0016529730280814225
136521,0,0.0018460849852332335
136522,0,0.0031542554841589563
136523,0,0.0011586788746796165
136524,0,0.0012989023571987899
136525,0,0.0053542122764402
136526,0,0.0056528174042951755
136527,0,0.007147818235135051
136528,0,0.0012363049884815006
136529,0,0.005982384346883717
136530,0,0.0026370584342852396
136531,0,0.0036797524527484504
136532,0,0.0032574335824445276
136533,0,0.002608667436385528
136534,0,0.0005514598882430419
136535,0,0.002903795840537557
