PassengerId,Survived_pred,Probability
892,0,0.1585317316713488
893,0,0.4158267709740423
894,0,0.1297171641724643
895,0,0.14578207371063803
896,0,0.46166005598137033
897,0,0.17904606280601032
898,1,0.8530286710975183
899,0,0.1681312824837147
900,1,0.7824732104396763
901,0,0.10235135635176669
902,0,0.1454347120783264
903,0,0.15628401814675894
904,1,0.891142940017425
905,0,0.1593828197982858
906,1,0.9132374572469227
907,1,0.8923182151021273
908,0,0.1357990829650392
909,0,0.17061638411874064
910,0,0.420300590568064
911,1,0.531150971509356
912,0,0.27066918257108774
913,1,0.5227410149409725
914,1,0.9046657475361719
915,0,0.2872009606507788
916,1,0.5172768721802675
917,0,0.13805214687705866
918,1,0.8976905603503386
919,0,0.16546403306190618
920,0,0.1553547653496232
921,0,0.15615015809305033
922,0,0.15495868224569861
923,0,0.1380790361083433
924,0,0.3397639595617884
925,0,0.37066053401930776
926,0,0.21602947941938677
927,0,0.18219455649919417
928,1,0.5190358451481731
929,1,0.5447896555075676
930,0,0.1463217350999462
931,0,0.2613502331582909
932,0,0.10954322492485087
933,0,0.15610608777024118
934,0,0.1567647003081586
935,1,0.8636908420991364
936,1,0.9143048371116383
937,0,0.14422081299353304
938,0,0.15899720130069167
939,0,0.15289070512452257
940,1,0.8160498336679923
941,0,0.5106168470463807
942,0,0.18103335558809114
943,0,0.13318266240177454
944,1,0.7441827849432671
945,1,0.8558872206931254
946,0,0.13227825835707677
947,0,0.1289629208024655
948,0,0.15301519900006644
949,0,0.14386484177259587
950,0,0.11668297574366988
951,1,0.8277629393421946
952,0,0.15978579643893295
953,0,0.14581639496300072
954,0,0.1554933580241668
955,1,0.8618137467607316
956,0,0.5116709626924948
957,1,0.8755386630800464
958,1,0.8597592642783352
959,0,0.15655336808343445
960,0,0.15419953751204793
961,0,0.25226931222398746
962,1,0.8616234234407206
963,0,0.14753356905414403
964,1,0.5161493823968414
965,0,0.15634535002790978
966,1,0.8549831178866228
967,0,0.15996328850861985
968,0,0.14563975911577082
969,1,0.8040863338995634
970,0,0.14354900028514092
971,1,0.8616234234407206
972,1,0.6448369797652336
973,0,0.5
974,0,0.15586820136033278
975,0,0.1454347120783264
976,0,0.1326307656498626
977,0,0.14985085808296292
978,1,0.8592235654337259
979,1,0.5583854121405174
980,1,0.8575089420358941
981,1,0.873294123169371
982,0,0.45732040618235414
983,0,0.14527479342993904
984,1,0.9217221349145688
985,0,0.14563975911577082
986,0,0.16321666526897363
987,0,0.1440531708238672
988,1,0.7055207073004044
989,0,0.14634115797198533
990,1,0.5467437998387106
991,0,0.15098284043789426
992,1,0.8991003091435463
993,0,0.13957559888742482
994,0,0.15289070512452257
995,0,0.1441685389975558
996,1,0.8158291792707221
997,0,0.16957634712005148
998,0,0.15446799593661834
999,0,0.15289070512452257
1000,0,0.14653238422613127
1001,0,0.16063541491820676
1002,0,0.13314354909667223
1003,1,0.8575461205531493
1004,1,0.856029882165957
1005,1,0.8595478935517739
1006,1,0.807734180005578
1007,0,0.20608859239951097
1008,0,0.15421752347806153
1009,1,0.8372351595653487
1010,0,0.16167119443776412
1011,1,0.8576355740374704
1012,1,0.8549249058366106
1013,0,0.15363312021263498
1014,1,0.9007025806772201
1015,0,0.14458706488404974
1016,0,0.15289070512452257
1017,1,0.7397873277641737
1018,0,0.14587432647725893
1019,1,0.7773525309410181
1020,0,0.1552691930044595
1021,0,0.14457990826706804
1022,0,0.14980298654510485
1023,0,0.15713117469905918
1024,0,0.2923915406055199
1025,0,0.14511654998468107
1026,0,0.15675907572664516
1027,0,0.14432647331892476
1028,0,0.1567263350509678
1029,0,0.1425274137576125
1030,1,0.5342743037229251
1031,0,0.20407225216443076
1032,0,0.21003609685206986
1033,1,0.8813542143278617
1034,0,0.25422661854795703
1035,0,0.15356016027221464
1036,0,0.1557831148532126
1037,0,0.11574993641039741
1038,0,0.15615508108611656
1039,0,0.14620089487238702
1040,0,0.15610608777024118
1041,0,0.13154296992663367
1042,1,0.8872757962192418
1043,0,0.1554079000666529
1044,0,0.1540597854829134
1045,0,0.5
1046,0,0.09748357374977912
1047,0,0.14393595168464846
1048,1,0.8530079253219842
1049,1,0.5335567424993284
1050,0,0.1557831148532126
1051,1,0.6193434564956587
1052,1,0.8574876674003292
1053,1,0.6114106743301692
1054,1,0.8607567048423493
1055,0,0.1442637278800175
1056,0,0.15479820269200273
1057,0,0.4415615246458475
1058,0,0.16965886667954552
1059,0,0.0940592063967777
1060,1,0.8544955508307207
1061,1,0.541543110499969
1062,0,0.14497860399429716
1063,0,0.1560338569392134
1064,0,0.12091991800833729
1065,0,0.15485505533438226
1066,0,0.15320418910520825
1067,1,0.921519452762374
1068,1,0.8837409587668769
1069,0,0.26521316180245963
1070,1,0.6655207543913378
1071,1,0.6534711993643457
1072,0,0.14354900028514092
1073,0,0.24052668385050238
1074,1,0.8933170095979877
1075,0,0.15289070512452257
1076,1,0.8798778765337048
1077,0,0.15627506663687715
1078,1,0.921834772906069
1079,0,0.11444731738074175
1080,0,0.1562000170792509
1081,0,0.15415490318199726
1082,0,0.1375847618941832
1083,0,0.1560955170577443
1084,0,0.35909222507834926
1085,0,0.12943844889700937
1086,1,0.8144930204886732
1087,0,0.15071532156489587
1088,1,0.6053207584749819
1089,1,0.5574747274690134
1090,0,0.14388419550497325
1091,1,0.5192827848206155
1092,1,0.8664837695703064
1093,1,0.8500336152255622
1094,0,0.40726362436657365
1095,1,0.9419242371791945
1096,0,0.141313052338209
1097,0,0.1568162464815332
1098,1,0.8340575144621731
1099,0,0.1423494478811945
1100,1,0.8535535159582062
1101,0,0.1441828627206659
1102,0,0.17424890492938044
1103,0,0.14432818130719496
1104,0,0.25055381612758026
1105,1,0.7740267040540947
1106,0,0.29013983943686034
1107,0,0.15548582992379073
1108,1,0.8576732491098743
1109,0,0.2902763318274579
1110,1,0.8956943339940161
1111,0,0.14563975911577082
1112,1,0.8618318521508903
1113,0,0.14773190646511802
1114,1,0.8508892459103279
1115,0,0.14740547929696607
1116,1,0.7886097031751573
1117,1,0.653136155699458
1118,0,0.14484082231561954
1119,1,0.8575089420358941
1120,0,0.16721647415070084
1121,0,0.15020634491601517
1122,0,0.2671012546201952
1123,1,0.8876032207152277
1124,0,0.12179004671191955
1125,0,0.15296656243546738
1126,0,0.23622020017524475
1127,0,0.1495647999479912
1128,0,0.2893219412141081
1129,0,0.1747629671932023
1130,1,0.8971879242432382
1131,1,0.9097984820063294
1132,1,0.7743144604335472
1133,1,0.8008504440411728
1134,0,0.2643478645298401
1135,0,0.14542370420543813
1136,0,0.08117868865141946
1137,0,0.1607302845263513
1138,1,0.8681975234374182
1139,0,0.10916817245816844
1140,1,0.8576355740374704
1141,1,0.6915281361679654
1142,1,0.9334659300920392
1143,0,0.149655784666209
1144,0,0.21522384740427786
1145,0,0.1462700911502117
1146,0,0.15242419144833996
1147,0,0.14497860399429716
1148,0,0.15289070512452257
1149,0,0.14563975911577082
1150,1,0.8526565967228233
1151,0,0.14737888935278975
1152,0,0.12478406611728644
1153,0,0.1474802327271328
1154,1,0.8712411044631104
1155,1,0.8341617707670259
1156,0,0.12961143869640132
1157,0,0.1454347120783264
1158,0,0.15618092725118085
1159,0,0.14497860399429716
1160,1,0.5190358451481731
1161,0,0.1608045613008372
1162,0,0.18138036988847533
1163,0,0.15289070512452257
1164,1,0.8753253066424245
1165,1,0.8575702597169145
1166,0,0.1548516186019476
1167,1,0.8536374364375428
1168,0,0.1406670195753309
1169,0,0.14489678660151037
1170,0,0.13414206442523727
1171,0,0.14597321030254132
1172,1,0.5365227537562417
1173,1,0.766849855646043
1174,1,0.8575089420358941
1175,1,0.896896281978561
1176,1,0.8279921152030705
1177,0,0.15314148369798825
1178,0,0.14458706488404974
1179,0,0.1794827179773164
1180,0,0.15485505533438226
1181,0,0.14563975911577082
1182,0,0.15628073445598428
1183,1,0.8521130762395005
1184,0,0.15485505533438226
1185,0,0.165239462156432
